sigungu_cd,bjdong_cd,bun,ji,total_exclusive_area,unit_count
11200,11300,0561,0000,123748.75,1590
11200,11300,0562,0000,12393.8,310
11200,11400,0013,0012,13784.8,322
11200,11400,0013,0017,12314.012,220
11200,11400,0013,0117,5337.03,187
11200,11400,0013,0157,8849.98,112
11200,11400,0013,0164,24806.97,277
11200,11400,0013,0189,6508.19,101
11200,11400,0013,0207,12830.67,219
11200,11400,0013,0209,18252.36,265
11200,11400,0013,0214,6562.72,142
11200,11400,0014,0018,13195.01,113
11200,11400,0022,0007,12458.55,270
11200,11400,0026,0003,2210.9159,114
11200,11400,0033,0002,16893.23,242
11200,11400,0033,0021,4887.3,188
11200,11400,0072,0008,13018.21,170
11200,11400,0072,0069,4253.53,137
11200,11400,0479,0001,11049.95,145
11200,11400,0656,0003,23229.22,274
11200,11400,0656,0234,27307.749,387
11200,11400,0656,0320,29315.3,390
11200,11400,0656,0334,12554.73,153
11200,11400,0656,0439,8128.894,199
11200,11400,0656,0449,3550.03,156
11200,11400,0656,0591,17452.73,169
11200,11400,0656,0882,8506.4,157
11200,11400,0656,1222,10406.32,110
11200,11400,0671,0006,18793.77,191
11200,11400,0676,0005,16457.27,228
11200,11400,0685,0696,65713.09,318
11200,11400,0685,0700,95644.03,423
11200,11400,0704,0000,28096.77,409
11200,11400,0706,0000,57640.06,840
11200,11400,0707,0000,12836.0,173
11200,11400,0708,0000,26539.36,344
11200,11400,0709,0000,22121.77,294
11200,11400,0710,0000,48783.595,580
11200,11400,0714,0000,12965.67,168
11200,11400,0715,0000,21966.7678,264
11200,11400,0718,0000,62593.5583,704
11200,11400,0721,0000,64281.5183,939
11200,11400,0723,0000,38199.1145,604
11200,11500,0231,0001,15939.84,612
11200,11500,0269,0025,14030.24,144
11200,11500,0273,0052,15059.17,204
11200,11500,0277,0017,26017.42,473
11200,11500,0277,0037,10468.49,379
11200,11500,0277,0043,13175.34,111
11200,11500,0277,0101,2935.36,156
11200,11500,0279,0050,12114.43,164
11200,11500,0280,0000,27986.78,399
11200,11500,0280,0006,35229.55,460
11200,11500,0280,0021,16716.92,146
11200,11500,0281,0016,9775.63,112
11200,11500,0281,0018,7646.51,105
11200,11500,0284,0055,19821.44,214
11200,11500,0284,0062,18536.61,245
11200,11500,0284,0124,4268.88,100
11200,11500,0286,0000,16097.81,221
11200,11500,0289,0005,9902.38,119
11200,11500,0289,0018,7233.09,105
11200,11500,0289,0290,2628.45,152
